,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
SPY,1.0000000000000246,-3.313177657299571e-05,0.0,0.0,-5.635076597188752e-05,0.0,-1.63641274643108e-06,4.296236765940458e-06,-4.635190313910429e-05,0.00015746554700853872,5.099827514883845e-05,0.0
QQQ,0.0,1.0000000000000246,0.0,0.0,1.6251849750690058e-06,0.0,0.0,2.0272613978933755e-06,-5.038882710375971e-05,1.00546921514809e-05,1.0933312355020045e-06,0.0
IWM,0.0,0.0,1.0000000000000246,0.0,4.8824069722183395e-05,0.0,-5.068789659487188e-05,0.0,0.0,0.0,-6.675039159960087e-06,-8.986216453491644e-05
EFA,0.0,0.0,0.0,1.0000000000000246,1.5178246641770534e-06,0.0,0.0,0.0,7.483763855119197e-05,-2.2919171502162032e-06,0.0,0.0
EEM,0.0,0.0,0.0,0.0,1.0000000000000246,0.0,-1.645063031399995e-06,6.534221561736327e-06,-9.96979763909394e-06,6.1380017225409445e-06,4.587573638042812e-05,0.0
IEF,4.536975238186482e-06,2.3749311697314284e-06,0.0,0.0,0.0,1.0000000000000246,0.0,-5.207206144109891e-06,0.0,0.0,0.0,0.0
TLT,0.0,0.0,0.0,0.0,4.373376487296149e-06,-2.7540844439417402e-05,1.0000000000000246,0.0001911381753702753,0.0,0.0,0.0,0.0
LQD,-6.729483943804265e-05,0.0,0.0,0.0,0.0,-0.00021089557887726224,0.0002859879005216419,1.0000000000000246,0.0,0.0,0.00013191746804878666,0.0
HYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014860767211574854,1.0000000000000246,0.0,0.0,0.0
GLD,-3.2560194025118326e-05,0.0,3.0303365674936985e-06,0.0,0.0,0.0,1.9230203627659196e-05,9.00582116440492e-05,-0.0002991304187082884,1.0000000000000246,0.0,0.0
DBC,0.0,-0.0014797800393299078,0.0,-4.1755702675636274e-05,0.0,0.0,0.0,0.0,9.102296615512696e-05,0.0,1.0000000000000246,0.0
VNQ,0.0,0.0,0.0,0.0,-0.00066965939130343,0.0,0.0,0.0008753333306011512,0.0,0.0002733088749464295,0.00011361667746702413,1.0000000000000246
