,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
SPY,1.0,0.67890006,0.26825666,0.15461636,-0.0021986808,-0.000786194,-0.00021884353,0.0,0.046346895,-0.0010437487,-4.771083e-05,0.23304498
QQQ,0.67890006,1.0,0.0096527375,0.0065817093,0.12755778,-0.0034337887,-0.0002077271,0.018514646,0.020703692,-0.00053239544,-0.037204206,-0.13429117
IWM,0.26825666,0.0096527375,1.0,0.06914935,0.02064626,-0.00491046,-0.0009939985,0.00066810776,0.10843174,-0.012639281,0.01739896,0.20748
EFA,0.15461636,0.0065817093,0.06914935,1.0,0.43459177,-0.00965408,-0.007880614,0.0012010284,0.06294385,0.05883969,0.0107761305,0.043268174
EEM,-0.0021986808,0.12755778,0.02064626,0.43459177,1.0,-0.0008093287,-0.0009025089,0.0006039278,0.024939004,0.110156305,0.069233686,-0.00889136
IEF,-0.000786194,-0.0034337887,-0.00491046,-0.00965408,-0.0008093287,1.0,0.54304904,0.32369334,-0.0014317713,0.1445683,-0.017783342,0.0049873926
TLT,-0.00021884353,-0.0002077271,-0.0009939985,-0.007880614,-0.0009025089,0.54304904,1.0,0.40821922,-0.059762783,-0.0013467442,-0.009293947,0.003616071
LQD,0.0,0.018514646,0.00066810776,0.0012010284,0.0006039278,0.32369334,0.40821922,1.0,0.31539568,0.0068303766,-0.00020496642,0.01760286
HYG,0.046346895,0.020703692,0.10843174,0.06294385,0.024939004,-0.0014317713,-0.059762783,0.31539568,1.0,0.008422814,0.04812459,0.022601187
GLD,-0.0010437487,-0.00053239544,-0.012639281,0.05883969,0.110156305,0.1445683,-0.0013467442,0.0068303766,0.008422814,1.0,0.23633865,-0.0051349304
DBC,-4.771083e-05,-0.037204206,0.01739896,0.0107761305,0.069233686,-0.017783342,-0.009293947,-0.00020496642,0.04812459,0.23633865,1.0,-0.046357673
VNQ,0.23304498,-0.13429117,0.20748,0.043268174,-0.00889136,0.0049873926,0.003616071,0.01760286,0.022601187,-0.0051349304,-0.046357673,1.0
