Lag,Source,Target,Mean signed weight,Mean absolute weight,Edge persistence
2,LQD,VNQ,0.0032095557544380426,0.0032095557544380426,0.0713162034609334
1,QQQ,DBC,-0.0027129300870001316,0.0027129300870001316,0.05558468799160986
1,EEM,VNQ,-0.0012277088826522231,0.0012277088826522231,0.046670162558993186
2,GLD,VNQ,0.000984837650321424,0.000984837650321424,0.03880440482433141
2,LQD,HYG,0.0005448947777040303,0.0005448947777040303,0.030414263240692185
1,HYG,GLD,-0.0005484057473950088,0.0005484057473950088,0.029889879391714735
3,DBC,VNQ,0.0006248917197808623,0.0006248917197808623,0.026219192448872573
3,HYG,DBC,0.00036736170295625925,0.00036736170295625925,0.025694808599895123
1,LQD,TLT,0.0003504199848975986,0.00045979610877111554,0.025170424750917672
3,HYG,EEM,-5.4833883041283116e-05,0.0004484914243221283,0.023597273203985317
2,GLD,SPY,0.0005589451757259667,0.0005589451757259667,0.015207131620346093
1,TLT,LQD,0.0005200448795221746,0.0005200448795221746,0.015207131620346093
2,EEM,IWM,0.00017902159015648067,0.00017902159015648067,0.015207131620346093
1,LQD,GLD,0.00016510672867298126,0.00016510672867298126,0.015207131620346093
3,DBC,EEM,0.000252316560363397,0.000252316560363397,0.01415836392239119
2,EEM,SPY,0.00015105945931281894,0.00015105945931281894,0.01415836392239119
3,DBC,SPY,0.00028049052343703806,0.00028049052343703806,0.013633980073413739
1,DBC,LQD,0.000241848683799617,0.000241848683799617,0.013109596224436287
3,HYG,EFA,0.0003684791154228151,0.0003684791154228151,0.012585212375458836
1,EEM,SPY,-0.00017883947293739766,0.00017883947293739766,0.012585212375458836
3,HYG,QQQ,-0.00027713857707567513,0.00027713857707567513,0.012060828526481384
3,HYG,SPY,-0.0002549354685470462,0.0002549354685470462,0.012060828526481384
2,SPY,LQD,-0.0002467477461323142,0.00025777958217076957,0.009963293130571578
2,IEF,LQD,-0.00023752595006953925,0.00023752595006953925,0.009963293130571578
3,EFA,DBC,-8.791103755356744e-05,8.791103755356744e-05,0.0057682223387519665
1,QQQ,SPY,-6.0741589550161734e-05,6.0741589550161734e-05,0.0057682223387519665
2,VNQ,IWM,-0.0003294945927336812,0.0003294945927336812,0.004195070791819612
1,IEF,LQD,-0.0002678789314813912,0.0002678789314813912,0.004195070791819612
1,HYG,DBC,9.031669469550252e-05,9.031669469550252e-05,0.004195070791819612
2,HYG,EFA,-5.3958614444127306e-05,5.3958614444127306e-05,0.0036706869428421605
1,HYG,EFA,4.135527342441492e-05,4.135527342441492e-05,0.0036706869428421605
2,IEF,TLT,-0.00010098309576278552,0.00010098309576278552,0.003146303093864709
1,TLT,IWM,-9.29278030525893e-05,9.29278030525893e-05,0.003146303093864709
