,X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),X-GAT-DRL (LSTM),1/N,GMV,HMM-GMV,GLASSO-GAT,TC-MAC,JM-MPC
2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,-0.0025726562219406945,-0.0021837720104140868,-0.002435562213642606,-0.0047557811166825115,0.0,0.0,-0.005795502135842345,-0.004565293035080242,-0.004534507441264379
2019-01-04,0.0,0.0,0.0,0.0,0.0,-0.0004664939637780696,0.0,0.0,0.0
2019-01-07,0.0,0.0,0.0,0.0,0.0,-0.0005458000657582174,0.0,0.0,0.0
2019-01-08,0.0,0.0,0.0,0.0,0.0,-0.0005742834089154103,0.0,0.0,0.0
2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-10,0.0,0.0,0.0,0.0,-0.0010338300014627322,-0.00024318439172732464,0.0,0.0,0.0
2019-01-11,-0.00041447837106001195,-6.581848344411334e-05,-0.0002700471944563354,-0.0006609624889750698,-0.0004070838167683499,0.0,-0.00035494968209714983,-0.0003682740250192662,-0.0006704030020664442
2019-01-14,-0.0030643394228424548,-0.002375058784443884,-0.002871373843762237,-0.005446827977048541,-0.0017389125792282023,-0.001742969048433629,-0.004382805458758132,-0.004737828587993986,-0.005276489304239518
2019-01-15,0.0,0.0,0.0,0.0,-0.0010633627686802427,-0.00028830932337498005,-0.00047144916116914626,0.0,0.0
2019-01-16,0.0,0.0,0.0,0.0,-0.00021658661034529292,0.0,0.0,0.0,0.0
2019-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-18,0.0,0.0,0.0,0.0,-0.000205919410498967,0.0,0.0,0.0,0.0
2019-01-22,-0.0063615011340676375,-0.004142939868286066,-0.00513915498212536,-0.0069549629598262275,-0.00014216155278201636,-0.0024069930406543927,-0.0046127503923042434,-0.005971126401615345,-0.006865464261779919
2019-01-23,-0.005470767979052105,-0.0032391138086655946,-0.004279778879051621,-0.005588829806445927,0.0,-0.0014916223745873314,-0.003380260213803332,-0.0048914330588422095,-0.00555227282660542
2019-01-24,-0.002888940753115077,-0.0006045742514708685,-0.001522065909165149,-0.002133864202821467,0.0,0.0,-2.2832673623129907e-05,-0.0018752320269058709,-0.0022380975371442124
2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,-0.003417903618774365,-0.002544396887486755,-0.0026907036973105036,-0.003656932724142248,-0.0008753602367460589,-0.002626902654679797,-0.003212688011402731,-0.0035002934698500354,-0.0035575588291705262
2019-01-29,-0.0024332712910245524,-0.0008424565613964763,-0.0008555207008414945,-0.0017053064471644896,0.0,-0.001257827457260885,-0.0016894233083969423,-0.0020680958067132993,-0.0017148224030681947
2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,-0.0011194568210589617,-0.0017730761469104683,-0.0016345172122079754,-0.002066014963245544,-0.0012008495438471378,-0.002282451138389874,-0.0016345512229386516,-0.0017562279280426418,-0.0019479355344348415
2019-02-04,0.0,0.0,0.0,0.0,-0.0016554339061006784,-0.0015605127772267968,0.0,0.0,0.0
2019-02-05,0.0,0.0,0.0,0.0,-0.00014518590044387825,0.0,0.0,0.0,0.0
2019-02-06,-0.0023214784179146353,-0.0024683239182070604,-0.002484291694960228,-0.003152351469455028,-0.0006941574970930064,-0.000588951735482901,-0.0027264639644335453,-0.0026943083166033333,-0.0030634987584980955
2019-02-07,-0.00652611906048528,-0.005107224763146068,-0.005176015186201588,-0.007072384934366127,-0.0005682779348444855,-0.002056417497152796,-0.006776221958766038,-0.006776849279868102,-0.006944786562363081
2019-02-08,-0.00597978004821631,-0.004321510879617407,-0.004385909847360425,-0.006388625871789899,0.0,-0.0004634810415654611,-0.006314314636654994,-0.006223392977168674,-0.006321836567042438
2019-02-11,-0.006635570061809815,-0.00531559151861738,-0.005084249450847844,-0.007346935512923647,-0.0012346757422737609,-0.0018720128445971485,-0.006929551722784311,-0.007096762904735376,-0.007147281476958867
2019-02-12,-0.0013522595887738298,-0.0014224070158673774,-0.0012070936539876342,-0.002048073175103471,-0.00020484058560343854,0.0,-0.0015256381270538633,-0.0018404261610166506,-0.002002096291863098
2019-02-13,-0.0010552516083551788,-0.0017503884599130437,-0.001192002020548033,-0.002339842124024605,-0.0010535345543690733,-0.0011612775249590923,-0.0017361417574186522,-0.0021415820871979463,-0.0021812158387053415
2019-02-14,0.0,0.0,0.0,-0.00013838519139053318,0.0,0.0,0.0,-0.0002987421606466256,-0.00012158302575715485
2019-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-20,0.0,0.0,0.0,0.0,-0.0002369991259570936,-1.1089760672655657e-05,0.0,0.0,0.0
2019-02-21,-0.002169184091268428,-0.0026854153919740886,-0.0024532386279421114,-0.0031764640768024988,-0.0025297580011460763,-0.0029613831212786934,-0.0029302903479306863,-0.002999556610379095,-0.0029508946913936462
2019-02-22,0.0,0.0,0.0,0.0,-0.0004238103024967188,0.0,0.0,0.0,0.0
2019-02-25,-0.0008315475459755861,-0.0007742793771647882,-0.0012988192634210138,-0.0007083295394412215,-0.00139815411336075,-0.0010431193118781712,-0.0006292084197625503,-0.0007015724883495666,-0.0006697297385360734
2019-02-26,-0.0001698120598268016,-0.00014636644310328517,-0.0009353248832763006,0.0,-4.746452120107936e-05,0.0,0.0,-0.00016469773410099364,-0.00010568994518111996
2019-02-27,-0.0017049352488411884,-0.002599483518240242,-0.0029630673181810785,-0.0030542225157168534,-0.0020669627907445864,-0.0024810911710014816,-0.002821072058762031,-0.003029362802212554,-0.0029173660053309902
2019-02-28,-0.003732361335932466,-0.004832999530397619,-0.005113186561680694,-0.006004047438122995,-0.003372138815274095,-0.004360275357052079,-0.005452165370116502,-0.005735294390639134,-0.005712786488358934
2019-03-01,-0.004543928487232063,-0.006069172580520421,-0.006032271591765226,-0.0071431876340003475,-0.0059351136279388594,-0.005502011869026324,-0.005746369488599856,-0.006062530524088783,-0.006563251418044369
