Asset,Label,Group,Observations,Mean daily log return,Median daily log return,Daily volatility,Annualised return,Annualised volatility,Sharpe ratio,Skewness,Excess kurtosis,Minimum daily return,Maximum daily return,Daily VaR 95%,Daily CVaR 95%,Maximum drawdown
SPY,U.S. large-cap equity,Equity,4675,0.00043019467476456633,0.0007049337546476001,0.012476779352065304,0.11450354879307745,0.19806273197154237,0.47641686690143037,-0.2946353405403324,14.089846944967285,-0.11588647100449564,0.13557703015885053,-0.018252922828237487,-0.030959420751930762,-0.5187373092441843
QQQ,U.S. growth equity,Equity,4675,0.0006023999506570089,0.0011677932308925096,0.014151064886059756,0.16393300005869182,0.22464119085151615,0.6132273422957445,-0.25343087923153274,7.3701619324976875,-0.12759201585400168,0.11479851300801504,-0.02313825266002614,-0.03437605651630128,-0.4939731791604922
IWM,U.S. small-cap equity,Equity,4675,0.0003508064128086197,0.00100143025362838,0.015695748601932468,0.09242851792251083,0.24916228465021825,0.29841141758696044,-0.5244115874966169,6.877201966314281,-0.1423349989759727,0.08754490709019987,-0.02407510908371674,-0.037602625305590234,-0.5425863876375332
EFA,Developed ex-U.S. equity,Equity,4675,0.00018668647184262338,0.0006314568168990591,0.013757159029669805,0.048169166097514315,0.21838812923563775,0.1510930727808141,-0.3473456084322843,13.421763337469784,-0.11836896753998132,0.14745104508838877,-0.02018739890278569,-0.033985769179320745,-0.5834062768241071
EEM,Emerging-market equity,Equity,4675,0.0001456379178861891,0.0007693556838160175,0.017452203739018183,0.03738254316575462,0.27704514554084225,0.0817640593692156,0.0732985225764849,17.550641284169753,-0.17633423803664852,0.20514114519240012,-0.023865108654104114,-0.04153631379222129,-0.642830206005827
IEF,7--10 year U.S. Treasury,Treasury,4675,0.00011069857827651903,0.00020660678004811003,0.004391131642933126,0.028288779737666747,0.06970705380808517,0.19864051746567096,0.11512729063536473,2.624000231245385,-0.025392153269037845,0.03368908855293592,-0.006907477816329948,-0.009640289981826963,-0.23924769194971984
TLT,20+ year U.S. Treasury,Treasury,4675,9.312605793637953e-05,0.0004753008332312459,0.009621260608788065,0.02374530142295983,0.15273277721877074,0.061667658154796814,0.009281290066356413,3.124380459695953,-0.06901031152316577,0.07250310309147036,-0.01532090799756352,-0.020946544285384394,-0.48351123466130563
LQD,Investment-grade credit,Credit,4675,0.00015536989023837188,0.00041587320995554967,0.005612837246178086,0.039929801523513664,0.08910102901720703,0.28173088967852766,-0.45484586231584156,56.78006335591254,-0.0955314240208754,0.0931964864056372,-0.0073757011297670245,-0.012307773934152949,-0.24954918806823545
HYG,High-yield credit,Credit,4675,0.0001980198542527489,0.0003194733731276544,0.006871630578624149,0.05116702912816229,0.10908375367527824,0.3286505518788596,0.3372311740747202,40.40038183721221,-0.08444069530363667,0.11572657862758548,-0.008114473872351653,-0.016267546823596622,-0.34199909910528714
GLD,Gold,Commodity,4675,0.0003173648505323099,0.0005393685677794685,0.011439611364522654,0.08326100663014135,0.18159820059453122,0.3630873029010072,-0.4223442977453448,7.357044732800475,-0.10841233744964714,0.10697398423801134,-0.018055352975946765,-0.027479811702738707,-0.45555012734256894
DBC,Broad commodities,Commodity,4675,1.0198698207291523e-05,0.0006445230408271066,0.012249066055923274,0.0025733774143021915,0.19444789546065466,-0.05903095517424368,-0.514241867571734,3.4534878643245595,-0.08277775938970046,0.06648450294501221,-0.019485141179629004,-0.030208308107990092,-0.7636263230765752
VNQ,U.S. real estate,Real estate,4675,0.0002661773751802232,0.0007725106495614436,0.018697606988278343,0.06937749472763133,0.2968153092180473,0.17865223594366167,-0.5375745606176358,18.586182503045624,-0.21708369461115246,0.15705929953932551,-0.024360700009783205,-0.04595295158878141,-0.6743731401134714
