Asset,Raw observations,Aligned observations,Raw missing fraction,Zero-return fraction,Longest zero-return run,Non-positive prices,Missing volume fraction,Start,End
SPY,4676,4675,0.0,0.0025668449197860962,1,0,0.0,2008-01-03,2026-08-04
QQQ,4676,4675,0.0,0.0042780748663101605,2,0,0.0,2008-01-03,2026-08-04
IWM,4676,4675,0.0,0.0019251336898395723,1,0,0.0,2008-01-03,2026-08-04
EFA,4676,4675,0.0,0.007700534759358289,2,0,0.0,2008-01-03,2026-08-04
EEM,4676,4675,0.0,0.007272727272727273,1,0,0.0,2008-01-03,2026-08-04
IEF,4676,4675,0.0,0.008128342245989306,2,0,0.0,2008-01-03,2026-08-04
TLT,4676,4675,0.0,0.004064171122994653,1,0,0.0,2008-01-03,2026-08-04
LQD,4676,4675,0.0,0.009625668449197862,1,0,0.0,2008-01-03,2026-08-04
HYG,4676,4675,0.0,0.014759358288770053,3,0,0.0,2008-01-03,2026-08-04
GLD,4676,4675,0.0,0.0027807486631016044,1,0,0.0,2008-01-03,2026-08-04
DBC,4676,4675,0.0,0.01732620320855615,2,0,0.0,2008-01-03,2026-08-04
VNQ,4676,4675,0.0,0.004705882352941176,1,0,0.0,2008-01-03,2026-08-04
