,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
SPY,1.0,0.8323670469631073,0.8612406490749976,0.8407955218353986,0.7657735363238848,-0.2529676871174531,-0.25965069967161086,0.2984600871983979,0.6280256516992517,-0.0018340820807876347,0.48440924968932514,0.6787234014483007
QQQ,0.8323670469631073,1.0,0.7464983963064444,0.6573102069786547,0.6380365452800819,-0.15400316072157247,-0.14145358321079995,0.2797895903792321,0.4543522624575305,-0.013875130077996699,0.3095215553659348,0.4998290079918869
IWM,0.8612406490749976,0.7464983963064444,1.0,0.7465777306493411,0.7140636996668572,-0.23331142576910568,-0.23660275944025957,0.24048535212928024,0.523250228196195,-0.023436197167096266,0.40629970973125323,0.7534637481885976
EFA,0.8407955218353986,0.6573102069786547,0.7465777306493411,1.0,0.853097535237803,-0.28583616404151235,-0.3014270591529349,0.2719869861319149,0.5909343931796804,0.08203294222213968,0.5163917611450144,0.6025166170358638
EEM,0.7657735363238848,0.6380365452800819,0.7140636996668572,0.853097535237803,1.0,-0.25951882367239104,-0.23756298289293531,0.19513701511765244,0.4842864545078872,0.10103308553094802,0.4872887988600359,0.6182059449854436
IEF,-0.2529676871174531,-0.15400316072157247,-0.23331142576910568,-0.28583616404151235,-0.25951882367239104,1.0,0.9069553163591816,0.45428245972220244,-0.0678535996959859,0.20608600399817448,-0.24003634970593127,-0.16688518559788937
TLT,-0.25965069967161086,-0.14145358321079995,-0.23660275944025957,-0.3014270591529349,-0.23756298289293531,0.9069553163591816,1.0,0.43752118017367897,-0.11446832797504343,0.14098449172432279,-0.2632460068595254,-0.15645417041547666
LQD,0.2984600871983979,0.2797895903792321,0.24048535212928024,0.2719869861319149,0.19513701511765244,0.45428245972220244,0.43752118017367897,1.0,0.5485564675556126,0.10777157899534562,0.15625368324429081,0.10813184437257352
HYG,0.6280256516992517,0.4543522624575305,0.523250228196195,0.5909343931796804,0.4842864545078872,-0.0678535996959859,-0.11446832797504343,0.5485564675556126,1.0,-0.0590215093357367,0.3527374095761696,0.3816314400988942
GLD,-0.0018340820807876347,-0.013875130077996699,-0.023436197167096266,0.08203294222213968,0.10103308553094802,0.20608600399817448,0.14098449172432279,0.10777157899534562,-0.0590215093357367,1.0,0.33032096948474604,-0.025468510791578854
DBC,0.48440924968932514,0.3095215553659348,0.40629970973125323,0.5163917611450144,0.4872887988600359,-0.24003634970593127,-0.2632460068595254,0.15625368324429081,0.3527374095761696,0.33032096948474604,1.0,0.28295710285964154
VNQ,0.6787234014483007,0.4998290079918869,0.7534637481885976,0.6025166170358638,0.6182059449854436,-0.16688518559788937,-0.15645417041547666,0.10813184437257352,0.3816314400988942,-0.025468510791578854,0.28295710285964154,1.0
