Event,Category,Start,End,Method,Trading days,Cumulative return,Annualised volatility,Daily CVaR 95%,Maximum drawdown,Mean turnover,Mean cash weight
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,X-GAT-DRL (Hybrid),24,-0.11824627221014902,0.21370095585405985,-0.032894817186081726,-0.12395692729079177,0.021880477629988414,0.4281749309424627
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,X-GAT-DRL (GRU),24,-0.11534643790636256,0.21536966084052814,-0.032961098328914834,-0.12084209526502077,0.02216065970121775,0.40953810603497187
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,X-GAT-DRL (LSTM),24,-0.1306727686344383,0.2265016637406626,-0.03517343571911438,-0.1352823338958652,0.022086281689507048,0.40401241717230807
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,1/N,24,-0.21640638949285693,0.43776181719577656,-0.06843253937136962,-0.22133417988570858,0.010275890041372244,0.0
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,GMV,24,-0.030467897942583276,0.11567612982116407,-0.016553765443089643,-0.06665985292938414,0.005526154964706105,0.5
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,HMM-GMV,24,-0.020493330814501918,0.11330579458642205,-0.01403442334830907,-0.05511846544945853,0.029297668222249034,0.20861397468842754
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,GLASSO-GAT,24,-0.11835029293970963,0.48415081818358296,-0.06818635114312271,-0.15173343522212634,0.2787032541199629,0.06333994704411326
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,TC-MAC,24,-0.15325669083265483,0.566968200040082,-0.07837541328315117,-0.18875862336319393,0.32180228591080823,0.03234370999879962
COVID-19 crash,Pandemic,2020-02-19,2020-03-23,JM-MPC,24,-0.20369194972431362,0.39678290655110254,-0.06196112287701914,-0.21104678221616635,3.659958114933063e-11,0.04542944306818292
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,X-GAT-DRL (Hybrid),103,0.17377936521254214,0.09524096296792518,-0.011649159342441394,-0.019412501332520593,0.01293542754222483,0.42239150743539167
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,X-GAT-DRL (GRU),103,0.17200187349145457,0.09633296015776437,-0.011662577282541787,-0.01941607114927879,0.012286408057477825,0.4069214121260598
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,X-GAT-DRL (LSTM),103,0.17966660838448265,0.1043663643447946,-0.012882561047859543,-0.021803799504656718,0.012784585614689228,0.40110237172470203
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,1/N,103,0.33237471433113175,0.18439627236997158,-0.021345884302624015,-0.03870354250236352,0.004629023078462125,0.0
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,GMV,103,0.08150815829671446,0.04233669177033264,-0.0048056535041574346,-0.013427399702426457,0.002231590758336712,0.5
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,HMM-GMV,103,0.07744781445878658,0.04010459317690258,-0.0047898740835715685,-0.016703449561399575,0.01127891792084348,0.20377889891214934
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,GLASSO-GAT,103,0.27035238327881533,0.16199236186897553,-0.01920606470211808,-0.049236580940025365,0.17916383048574178,0.07832717288183226
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,TC-MAC,103,0.21240313954610432,0.1314425361541692,-0.01790615852343359,-0.03790291264823398,0.18483954523789864,0.057426840985760945
COVID-19 initial recovery,Pandemic,2020-03-24,2020-08-18,JM-MPC,103,0.2975680252094406,0.16399888484512443,-0.019163284438304267,-0.03431504549571729,2.905839457945092e-11,0.04412534378546368
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,X-GAT-DRL (Hybrid),196,-0.12089046128792917,0.0811238297449674,-0.011673039625552788,-0.12292981497545963,0.01864595329889864,0.4386422655914934
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,X-GAT-DRL (GRU),196,-0.12255479495389435,0.0844535942528828,-0.012166602983966053,-0.12255479495389432,0.017978781600991457,0.42023365269078183
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,X-GAT-DRL (LSTM),196,-0.11799409649321273,0.08806527628153987,-0.01270273680555592,-0.1189028735343638,0.017738483711049392,0.41480359542340584
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,1/N,196,-0.20481561062581619,0.14641706876144361,-0.020516711001604942,-0.20510682304134842,0.0038461611424657747,0.0
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,GMV,196,-0.08637906122427486,0.05559165139920861,-0.007540268883080628,-0.09153974954315347,0.002333655735414708,0.5
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,HMM-GMV,196,-0.15020716383610855,0.0777638341360925,-0.01112205254115367,-0.15483486157289483,0.028005355513830408,0.2116757391955562
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,GLASSO-GAT,196,-0.22555974736586887,0.13716671257459018,-0.019708392623741928,-0.22661780671272735,0.17342399460879573,0.06790571904670982
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,TC-MAC,196,-0.24260416798018225,0.14119448093591522,-0.020390283924983654,-0.24260416798018236,0.16381751623805013,0.04539243822565726
Inflation and broad market sell-off,Macro-financial,2022-01-03,2022-10-12,JM-MPC,196,-0.2052635233036683,0.1517110797689007,-0.02159125124175306,-0.20579993304903144,1.2990050997377663e-10,0.03722538099417451
