Phase,Start,End,Trading days,Benchmark cumulative return,Minimum drawdown,Mean annualised volatility,Mean VIX,Mean high-yield spread
Sideways,2008-01-03,2008-07-17,136,-0.12751566495828137,-0.15644701331138122,0.1986790552472418,23.543823529411764,
Bear,2008-07-18,2008-07-21,2,0.006789485788635781,-0.12165617383211824,0.2007265060912703,23.55,
Sideways,2008-07-22,2008-07-22,1,0.011344586883512253,-0.11119801839560539,0.1999888261637321,21.18,
Bear,2008-07-23,2008-07-25,3,-0.01568890571249114,-0.12514234888207199,0.2085439429501209,22.55333333333333,
Sideways,2008-07-28,2008-07-28,1,-0.01466365359719457,-0.13797095842492058,0.19637625384703136,24.23,
Bear,2008-07-29,2008-08-27,22,0.04035932868150693,-0.1285587959944664,0.21894219560209988,20.941363636363636,
Sideways,2008-08-28,2008-09-08,7,-0.012749714826585384,-0.1352517167454489,0.19850613365871125,21.890000000000004,
Bear,2008-09-09,2009-11-13,300,-0.1092713857391575,-0.5185050404129965,0.36673887810941486,38.382600000000004,
Sideways,2009-11-16,2009-11-18,3,0.015052216301492062,-0.19992264117892422,0.2083060683256636,22.31,
Bear,2009-11-19,2009-11-24,4,-0.0025163311666208657,-0.21272869820750395,0.20697500104970876,21.6125,
Sideways,2009-11-25,2009-11-25,1,0.003513804310593782,-0.1986994075935129,0.20153680463743795,20.48,
Bear,2009-11-27,2009-11-30,2,-0.012928838099723729,-0.2117212293323768,0.19205209099066453,24.68,
Sideways,2009-12-01,2009-12-02,2,0.01191575886899436,-0.19963463448030982,0.1516792272181733,21.520000000000003,
Bear,2009-12-03,2009-12-11,7,-0.001258484050548627,-0.2114334444617717,0.1446198611200387,22.295714285714286,
Sideways,2009-12-14,2009-12-16,3,0.0036900194921386646,-0.19891517230379696,0.12647989474555857,21.06,
Bear,2009-12-17,2009-12-18,2,-0.006426120762519178,-0.20733265794098799,0.12817782379679826,22.095,
Sideways,2009-12-21,2010-01-21,21,0.013519466356333616,-0.19474731978156445,0.11119287020728848,19.25,
Bear,2010-01-22,2010-02-17,18,-0.012891681140749785,-0.23409480234052216,0.18032977765128333,24.17722222222222,
Sideways,2010-02-18,2010-02-22,3,0.008162390365049009,-0.19778510648225067,0.19760441981373467,20.19666666666667,
Bear,2010-02-23,2010-02-23,1,-0.012144733640241712,-0.20574148563097983,0.17705357370684202,21.37,
Sideways,2010-02-24,2010-05-19,60,0.021948984061417348,-0.199521132482268,0.13327051879104707,20.290499999999998,
Bear,2010-05-20,2010-05-26,5,-0.04107007626913369,-0.22164455743870282,0.29793563463811135,38.768,
Sideways,2010-05-27,2010-05-27,1,0.033498117887930556,-0.1955711150650722,0.31870239765695346,29.68,
Bear,2010-05-28,2010-06-01,2,-0.029162184443936385,-0.2190300185795746,0.3146886131536242,33.805,
Sideways,2010-06-02,2010-06-03,2,0.02957356541682985,-0.19869408372129205,0.32306822874092167,29.815,
Bear,2010-06-04,2010-06-14,7,-0.010838884248948598,-0.23384613314220637,0.30878704255076,32.488571428571426,
Sideways,2010-06-15,2010-06-21,5,0.022189842286180417,-0.18700042021619212,0.2928197797121523,25.134,
Bear,2010-06-22,2010-07-14,16,-0.01579718197336814,-0.2542090570749419,0.23947074026020185,28.37125,
Sideways,2010-07-15,2010-07-15,1,0.00027353437555466265,-0.19962465221989578,0.19760817134069486,25.14,
Bear,2010-07-16,2010-07-22,5,-0.002005955321324896,-0.2216625994501179,0.22552956775974722,25.284,
Sideways,2010-07-23,2010-08-10,13,0.026676279206513456,-0.1953193402746275,0.20531845030260076,22.805384615384618,
Bear,2010-08-11,2010-08-17,5,-0.024826864386179027,-0.20998734766978178,0.19387640218807622,25.558,
Sideways,2010-08-18,2010-08-18,1,0.0018251785882696936,-0.198822300310611,0.17792281558746495,24.59,
Bear,2010-08-19,2010-09-09,15,0.010292640967520677,-0.23209805448702236,0.181069912348294,25.005333333333336,
Sideways,2010-09-10,2010-11-04,40,0.10813708898126007,-0.18648947636832947,0.13813913083203982,21.0985,
Bull,2010-11-05,2010-11-05,1,0.0037621245171215456,-0.0996728702348294,0.09656394008008799,18.26,
