,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
SPY,1.0,0.9242831604797266,0.8944437480623082,0.8854064330345929,0.8242425348443875,-0.2884571300979304,-0.30553576928867476,0.21745892507256578,0.6929194327528908,0.05351437262978154,0.40833902470153355,0.7478826271749538
QQQ,0.9242831604797266,1.0,0.8207670506992903,0.7877089451209527,0.7646435482221929,-0.24133305355944146,-0.2515625133032098,0.19611434413560605,0.6073550405572441,0.049637571401278786,0.32895500045133336,0.6300465703928103
IWM,0.8944437480623082,0.8207670506992903,1.0,0.8144088938652342,0.7592675522959111,-0.269713139284491,-0.2857692852488982,0.1846215105563419,0.6344674557206968,0.053202570515751335,0.38187579984245024,0.7638492858911433
EFA,0.8854064330345929,0.7877089451209527,0.8144088938652342,1.0,0.876441833762251,-0.2564049187872822,-0.2869022341692757,0.24179309009221106,0.672954428450824,0.15170718577395434,0.4485556621483584,0.6914331347497193
EEM,0.8242425348443875,0.7646435482221929,0.7592675522959111,0.876441833762251,1.0,-0.2562169646603819,-0.26611549410259777,0.20037433320632772,0.6193448532852006,0.17008610883588388,0.44968120060489397,0.6580402514155093
IEF,-0.2884571300979304,-0.24133305355944146,-0.269713139284491,-0.2564049187872822,-0.2562169646603819,1.0,0.9115147808847343,0.5611312975970257,-0.09193700302983841,0.23434434229045958,-0.20867293990042557,-0.14281919938422377
TLT,-0.30553576928867476,-0.2515625133032098,-0.2857692852488982,-0.2869022341692757,-0.26611549410259777,0.9115147808847343,1.0,0.5436259326093826,-0.13357672198401918,0.17324447997596132,-0.2387642928340777,-0.15403168152410066
LQD,0.21745892507256578,0.19611434413560605,0.1846215105563419,0.24179309009221106,0.20037433320632772,0.5611312975970257,0.5436259326093826,1.0,0.46204108956235523,0.16699948253935232,0.07359690933273416,0.1980340614004936
HYG,0.6929194327528908,0.6073550405572441,0.6344674557206968,0.672954428450824,0.6193448532852006,-0.09193700302983841,-0.13357672198401918,0.46204108956235523,1.0,0.0501226827265326,0.35897372269835626,0.5383671175311204
GLD,0.05351437262978154,0.049637571401278786,0.053202570515751335,0.15170718577395434,0.17008610883588388,0.23434434229045958,0.17324447997596132,0.16699948253935232,0.0501226827265326,1.0,0.3315806607359164,0.05563193465821385
DBC,0.40833902470153355,0.32895500045133336,0.38187579984245024,0.4485556621483584,0.44968120060489397,-0.20867293990042557,-0.2387642928340777,0.07359690933273416,0.35897372269835626,0.3315806607359164,1.0,0.28419023306933644
VNQ,0.7478826271749538,0.6300465703928103,0.7638492858911433,0.6914331347497193,0.6580402514155093,-0.14281919938422377,-0.15403168152410066,0.1980340614004936,0.5383671175311204,0.05563193465821385,0.28419023306933644,1.0
