Method,Annualised return,Annualised volatility,Sharpe ratio,Daily Sharpe ratio,Sortino ratio,Maximum drawdown,Calmar ratio,Daily VaR 95%,Daily CVaR 95%,Skewness,Excess kurtosis,Final wealth,Mean turnover,Total transaction cost,Mean HHI,Mean cash weight,Probabilistic Sharpe probability vs zero,Deflated Sharpe probability,Deflated Sharpe benchmark,DSR effective trials,Policy seed
X-GAT-DRL (Hybrid),0.0882179587219527,0.06768220484134113,1.2490943265854229,0.07868554648111248,1.143383550088793,-0.10093036074137596,0.8740477897230793,-0.006503958540150574,-0.01001175737334728,-0.7547204505996916,5.216393984659124,1.8960336075681161,0.017983943635102858,0.04603407080411981,0.1878792672896307,0.2865448835412323,0.9995500819952827,0.9941649574145295,0.3002767608247662,9.0,101
X-GAT-DRL (GRU),0.08172969279748266,0.07980855369276715,0.9843722729554393,0.062009624565416296,0.9114670949071295,-0.1433607828713861,0.5700979804972548,-0.007425308370976876,-0.01183858261377746,-0.815383700904341,9.01042996224745,1.8121422837616132,0.018754785457654622,0.047973007609948645,0.13890063554900556,0.266010469829822,0.9957061570292786,0.9661032309523334,0.3002767608247662,9.0,101
X-GAT-DRL (LSTM),0.0799923265058915,0.08551247627338342,0.8999147186163545,0.05668929872917957,0.8241871198150185,-0.1496470915577891,0.5345398007618539,-0.008649624097220466,-0.012902609153701986,-0.694515272366945,4.840514042583192,1.7902331399116236,0.01754373665219888,0.04515310266815251,0.1575657236470331,0.27226207631714944,0.9922654701452928,0.9466621715781088,0.3002767608247662,9.0,101
1/N,0.10480560921389448,0.11927741401229298,0.8356100025809712,0.052638482377792624,0.7711785684909261,-0.22133417988570858,0.4735175076348961,-0.01080507703210799,-0.01781480960053653,-0.9131688152362422,13.588383759744596,2.1260041482358183,0.0030384808350539453,0.010852006202927998,0.08333333333333334,0.0,0.9872349509451491,0.9237496029848224,0.3002767608247662,9.0,101
GMV,0.04490991905702302,0.04120484862480679,1.0661531666306048,0.0671613366287759,1.0166003662303251,-0.1000402531592276,0.4489184866969779,-0.004086370285077459,-0.005867860579563099,-0.27472705763002414,4.483236817329787,1.394371360989643,0.001962731287015105,0.007598135958793766,0.2884772703705104,0.5,0.9981045665040833,0.981222567269793,0.3002767608247662,9.0,101
HMM-GMV,0.04241237617638127,0.05955857571352398,0.6974246618775498,0.04393362413169776,0.6656499442880531,-0.16738241985901114,0.25338608566004656,-0.006143187555766556,-0.008761588611080841,-0.21974592361199,1.9992657505024178,1.3693474157236967,0.0207123123366009,0.04988864576509975,0.22357073103060396,0.09837594290525231,0.9717416395216413,0.8612509003423616,0.3002767608247662,9.0,101
GLASSO-GAT,0.10286977838823042,0.12176714278983518,0.8041222760109552,0.05065494204791017,0.7889552624028645,-0.24517384983336388,0.419578916993584,-0.010691641335387459,-0.01737196163117767,0.027864806560039444,20.937829662834204,2.097975773212018,0.11826160826655029,0.2652652716189168,0.08970547178622867,0.06891272547222499,0.9859868171545921,0.9156728135123382,0.3002767608247662,9.0,101
TC-MAC,0.07284328596919232,0.12076505945105304,0.5822247021007169,0.036676708783741956,0.5414713594896803,-0.2733181123303211,0.2665146680113058,-0.010539351597381645,-0.017399714495472594,-0.8924745357597158,27.283697921338657,1.70248049551978,0.10589051732506122,0.2388177783884371,0.08525128847269536,0.06645495733896845,0.9415808525743317,0.7761957537353465,0.3002767608247662,9.0,101
JM-MPC,0.10917587312394916,0.1204060649415344,0.8605653126528966,0.05421051914781215,0.7904975414207467,-0.21589937746530674,0.5056794253216077,-0.011300213267973806,-0.018231854979276006,-0.7271568015498572,10.11553468445037,2.1904777631236083,5.44862758611867e-11,4.482414723395991e-07,0.0854622099679799,0.0377401070062255,0.9895979638075479,0.9338332088695833,0.3002767608247662,9.0,101
X-GAT-DRL (Hybrid),0.06732089655291507,0.07737295134004031,0.8420471561589807,0.053043984937757936,0.7749214912686853,-0.15700002965844229,0.42879543844274076,-0.007671455673650639,-0.011723953578884583,-0.7051243383442942,5.5603978879675235,1.6372740673705393,0.023373200214943806,0.058223408099788015,0.16061397104692327,0.30708428796702913,0.9883307076979896,0.9266762926686424,0.3031168294434398,9.0,211
