,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
SPY,1.0,0.8952299359860189,0.8522565086310794,0.8221171230932461,0.7434601602192584,-0.2543765330276197,-0.2546575830964046,0.08623008994367272,0.6785093396234921,0.055198506316833894,0.3246991608521965,0.6474532867222702
QQQ,0.8952299359860189,1.0,0.7561806813098098,0.7145970179853147,0.6942228058630802,-0.20773678312470847,-0.20624789050781395,0.09648184065781949,0.6054005384314198,0.048308627741228884,0.26166310967442896,0.5218634076420364
IWM,0.8522565086310794,0.7561806813098098,1.0,0.7446039996766081,0.676469406069153,-0.2410079485082977,-0.24006395697052094,0.07763518496191696,0.6297360954524466,0.06491047336434244,0.31886724964001206,0.6639858239547228
EFA,0.8221171230932461,0.7145970179853147,0.7446039996766081,1.0,0.8067872187593637,-0.1948538209332693,-0.2149669904879469,0.12738040529552483,0.651185538896191,0.18115438773214543,0.3768687822925237,0.5764056458194264
EEM,0.7434601602192584,0.6942228058630802,0.676469406069153,0.8067872187593637,1.0,-0.20768781281565657,-0.21510606564943094,0.09438454687873488,0.593361048960318,0.197214215447624,0.4013547035096594,0.49915089323845463
IEF,-0.2543765330276197,-0.20773678312470847,-0.2410079485082977,-0.1948538209332693,-0.20768781281565657,1.0,0.9199396951603357,0.7479089591599534,-0.03724355907147346,0.2507159156615051,-0.19234305671876747,-0.04647435345677197
TLT,-0.2546575830964046,-0.20624789050781395,-0.24006395697052094,-0.2149669904879469,-0.21510606564943094,0.9199396951603357,1.0,0.7367619391878356,-0.06347728801546274,0.19650454262290049,-0.21121390338852467,-0.05274998344775683
LQD,0.08623008994367272,0.09648184065781949,0.07763518496191696,0.12738040529552483,0.09438454687873488,0.7479089591599534,0.7367619391878356,1.0,0.3087845985399689,0.2421087972785303,-0.022629699784812548,0.19446585316660597
HYG,0.6785093396234921,0.6054005384314198,0.6297360954524466,0.651185538896191,0.593361048960318,-0.03724355907147346,-0.06347728801546274,0.3087845985399689,1.0,0.11097857202648422,0.310021151096643,0.505383979708042
GLD,0.055198506316833894,0.048308627741228884,0.06491047336434244,0.18115438773214543,0.197214215447624,0.2507159156615051,0.19650454262290049,0.2421087972785303,0.11097857202648422,1.0,0.31011316422607843,0.09121366585148073
DBC,0.3246991608521965,0.26166310967442896,0.31886724964001206,0.3768687822925237,0.4013547035096594,-0.19234305671876747,-0.21121390338852467,-0.022629699784812548,0.310021151096643,0.31011316422607843,1.0,0.18775078802160297
VNQ,0.6474532867222702,0.5218634076420364,0.6639858239547228,0.5764056458194264,0.49915089323845463,-0.04647435345677197,-0.05274998344775683,0.19446585316660597,0.505383979708042,0.09121366585148073,0.18775078802160297,1.0
