Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2008-01-03,125133300,114103700,78036800,13924700,47760300,198600,1256700,151300,64800,9553900,1108400,259300
2008-01-04,232330900,212617600,123498600,11883900,83071200,368700,2420200,135900,48600,8402200,581200,382300
2008-01-07,234991000,235083600,139672900,18197300,54090900,341100,1315500,148300,177200,6944300,664300,668600
2008-01-08,326365700,261669800,157222700,15632600,88767900,293200,1604800,127100,42100,9567900,429000,646700
2008-01-09,301824900,254011800,140191600,14863600,85492200,335600,2203500,146200,51600,10080200,749600,534600
2008-01-10,335701200,249958500,153878400,14018200,84510900,258300,2681800,388300,154800,12916300,452800,717000
2008-01-11,267076600,211685200,120320000,10759900,78241200,310100,1872900,98800,71700,6978800,667600,558300
2008-01-14,170365500,168048500,71078600,10031000,70594500,347000,906100,335000,20600,10085000,835800,399900
2008-01-15,239940100,241094900,95261600,12630400,90633900,353700,1435300,159800,20000,23853900,472800,542700
2008-01-16,378802600,265625900,135714800,16323300,141276600,459400,3505100,173400,20700,26919000,1044300,621800
2008-01-17,397892600,254098800,123268100,22476600,133308000,608600,2940500,152700,31600,13592300,689800,700400
2008-01-18,348561500,273063300,131880200,21939600,119655300,628100,2676800,195800,84500,9094500,458100,880900
2008-01-22,435923700,325732000,150963700,24637000,153342900,863800,5423500,267100,192400,20679600,785400,925800
2008-01-23,511913000,390129000,183099500,33608600,173383800,1417600,7636600,440200,59600,14282000,695900,1329400
2008-01-24,259949300,250249100,113683300,14649000,93140700,398500,5676700,244400,62700,10627200,709700,755600
2008-01-25,269603900,199299100,95436000,15052900,65709300,442600,4371100,159700,43700,9703900,1189100,690400
2008-01-28,217934600,163711200,81259000,17770100,61924200,254900,1633500,272100,44800,8533200,593400,814200
2008-01-29,168968300,138520000,75340700,12914400,42873000,433100,3100200,152000,39200,9091600,492000,532400
2008-01-30,334939200,220824400,126086600,15417100,90782400,694000,3468000,147200,27400,14378100,564500,589500
2008-01-31,343680800,246824100,117643600,18976200,91635900,384900,11441000,162900,76500,7791500,692200,743400
2008-02-01,206843600,161920300,100612100,13916700,66237600,597500,4163700,188500,83100,19635600,642600,848600
2008-02-04,124694300,100209900,54583900,11102300,47431800,442300,1729600,155800,44900,10285000,692400,520000
2008-02-05,286882500,188990400,125988100,15487400,81961200,234400,2594600,212400,66300,11170100,787500,711000
2008-02-06,250792900,178285000,97259100,15260200,94311600,161700,1339800,215000,101100,8787200,867300,558000
2008-02-07,297368100,286254800,125972100,14439600,81689400,246500,5419700,206400,58100,8971300,859400,462600
2008-02-08,221643500,173781300,86493200,12543800,64338300,219300,2832800,210000,80400,9128200,1069800,837500
2008-02-11,188576300,119562300,80655800,11886900,62668500,200000,2960200,146100,74500,6832200,1236600,720200
2008-02-12,256654400,145412400,76564500,14224000,95163900,425500,2897700,270400,85200,10225900,760000,902800
2008-02-13,181967800,148685900,86241400,10028700,80838300,310900,3697500,200500,60700,10038800,406600,814900
2008-02-14,215207200,170868900,78328200,9046200,77572200,477900,7505000,172700,48800,6882500,1015600,1046100
2008-02-15,154110300,100053300,64549100,9362200,40972800,512000,3687800,179400,49700,5586100,995300,1150900
2008-02-19,145190000,110507600,50724600,10562000,60714600,564300,2911600,220800,102900,8371600,919800,1076500
2008-02-20,220085700,137338800,71204100,20118300,67324200,496700,2550100,151000,65800,10632400,706500,1518700
2008-02-21,201051200,127857000,85702100,11478900,47179200,361900,4197200,264600,55800,12952200,565600,1092300
2008-02-22,205491000,157364700,84228000,12524600,58150800,237200,1959700,276800,48200,7576900,555500,1063400
2008-02-25,190107000,121444300,76367400,12643600,62952600,175400,3460900,194200,81000,11954500,923900,984800
2008-02-26,212420700,148375900,92917400,11409300,62865300,259700,2618900,235600,80200,8452200,1029300,889100
2008-02-27,168395800,125682600,85186500,12680700,59912700,201600,2494400,286900,75900,9926500,1344400,447800
2008-02-28,170831100,129196700,68720700,9345600,52139100,289500,3410900,214400,61300,11211200,1536000,627800
2008-02-29,252715200,188724500,98588500,16244300,69116400,420700,3822000,211800,72900,9347800,1079700,556600
2008-03-03,189483500,132963800,84853500,11907200,85376100,480300,2036900,571400,53500,11479000,1311900,629500
2008-03-04,282513100,183851000,90523200,14389700,95442600,305600,3401100,335900,29900,21356500,1611900,517100
2008-03-05,270681400,183208300,92841800,11441200,63579300,358300,3871200,391400,73300,15354300,1009300,558300
2008-03-06,247911700,152752200,104781300,11643200,57511500,292600,1342600,151600,21000,18543500,1676900,535000
2008-03-07,326434600,242552400,119085300,10738500,70810500,414000,3601300,317200,44200,10066900,1497400,636400
2008-03-10,235683600,146801900,82737100,25154900,70676700,200300,3579000,139400,26800,10868400,1719600,752200
2008-03-11,341440600,196755300,117570000,14641800,100189800,350800,3309200,149700,36200,14343300,1474200,577700
2008-03-12,229161100,155566100,92575100,15803200,59353200,289800,4752900,523400,53200,8178200,1756900,363400
2008-03-13,351504200,208967900,123504200,11435300,85102500,626400,5763500,402100,80100,14681500,2624800,503300
2008-03-14,484687800,309589800,176997100,13901300,94845000,301700,6174800,96200,37300,17565100,1140300,615900
2008-03-17,405311100,193130600,126969000,17473700,104934000,569100,3329300,175400,55100,26505900,3062500,1021200
2008-03-18,334416600,216300400,161001200,18299700,82055700,333400,4022300,103700,46700,20966100,1175300,774700
2008-03-19,345971600,216157200,132792600,13885800,98289000,1370400,5206400,187400,75800,37594300,2186000,372600
2008-03-20,245320700,128397000,103328000,14106800,83455200,626300,3905900,118100,55600,28830000,3472500,531200
2008-03-24,208977300,125018000,90751700,13955800,63315000,898300,5596200,107100,104900,14325700,1459100,384200
2008-03-25,192947200,118107500,50600,18299600,49837200,314600,2038200,95300,90200,15839900,1020800,752900
2008-03-26,196934300,124824600,63054100,12468500,46039800,615400,1652000,140500,149700,12389000,1394900,437000
2008-03-27,225153200,143868600,63938500,10316600,45650100,345100,2405700,126900,97800,7560500,2398300,673300
2008-03-28,180896100,111822300,228800,11224600,42123300,131800,1745500,119900,46400,8786600,1129600,491400
2008-03-31,166692100,113644800,64266300,15065500,51357900,431000,2546300,435100,246500,11165000,1302500,409000
2008-04-01,254547300,137494400,65928500,18534500,59322000,786700,3821800,395100,988000,23673200,1282800,3876600
2008-04-02,210910800,132486800,58947900,10982700,48963000,734700,3794200,261400,92200,13537500,814400,483400
2008-04-03,175884800,140033800,57228200,7069400,49385100,560200,2839100,143700,98300,9324800,552400,508900
2008-04-04,204446800,139261000,159400,9901600,48387300,421800,1745200,308700,142200,7228200,825800,1124600
2008-04-07,154245500,102297100,40283000,7494700,48936600,330400,2231800,302900,117300,8196200,1223600,681300
2008-04-08,148937300,97435200,49572900,7534000,37712100,469900,1305200,168100,85300,5773000,826900,452500
2008-04-09,195610600,127182300,71772700,11748900,38654100,761000,2883600,150000,79400,10572400,1277000,515900
2008-04-10,192967800,112773800,56065900,12757700,38757600,199700,1846500,126600,176900,7758500,1338600,576600
2008-04-11,222973300,120135400,79545300,7246900,45471000,716400,1987700,176800,59600,6545700,747400,422300
2008-04-14,160522000,89274600,57846400,7161800,43521300,246000,3195300,115500,54700,4697000,762000,410800
2008-04-15,172389200,124232300,45940300,10849500,34587600,273700,2821600,90200,59400,6635400,615700,218700
2008-04-16,189268900,134027900,72389400,10529100,52355400,1116400,4691100,111400,84700,8469200,784500,358200
2008-04-17,179665700,124953100,48815600,17629000,35445900,815000,2020000,139800,61900,6875300,555800,400600
2008-04-18,218530600,133022500,70736400,19354900,43182300,2284800,2199700,118200,123700,11390700,549200,814400
2008-04-21,118587400,83303200,40019000,6355100,39228000,303600,2805800,164600,70500,11927500,769300,307700
2008-04-22,162166000,104689600,68800,7264100,45971400,427900,1799700,298500,77600,14043600,904600,522800
2008-04-23,193309000,131086200,48056900,10522800,38048400,191300,1221100,455600,103800,18170500,744300,693300
2008-04-24,229381300,166509000,230600,8145200,38298300,306600,3213600,238600,114400,22846600,691800,886400
2008-04-25,190788100,121945400,56252000,17696000,36429900,211400,1742000,120100,87600,11179900,473700,454400
2008-04-28,105610200,71244000,35470700,7686400,28076100,167800,1883900,178400,595700,8071700,480500,699600
2008-04-29,125514100,91270600,40940300,7570100,43114200,144300,1269100,226700,144500,14689000,1231900,806100
2008-04-30,208395900,132152700,62315700,9458000,56735100,168700,2827500,196500,113400,17701500,1620800,629600
2008-05-01,187279500,143596900,55323500,11560300,36340500,336700,3226500,221300,428500,17664500,1700600,780200
2008-05-02,181585500,124990000,58836700,15374600,36100200,341700,2730800,236900,133900,8744400,1348400,1311800
2008-05-05,118504500,75624700,39901300,7669900,22732500,158800,1309300,129900,121900,7381300,825500,295500
2008-05-06,179339800,139582600,60503800,8318300,36007500,557400,4037500,143500,121400,10760400,825700,336800
2008-05-07,199267300,140008300,57431100,9339200,52249200,361300,3876200,401700,65700,7218400,839600,496200
2008-05-08,178321200,128058700,60442700,6971300,34318500,445600,2829500,139700,59700,8628600,933100,419100
2008-05-09,152588200,97062000,51712800,5649300,33387000,236600,2064300,225400,73100,9926600,1035000,342300
2008-05-12,147865900,89606500,48246600,6293200,31889100,112200,1947400,205100,91900,5010000,557100,287700
2008-05-13,159132200,85448100,52328700,8349900,24984000,458800,2123300,276300,59500,7359800,700300,307100
2008-05-14,181910800,143598200,60659500,7236300,27882000,174400,2600900,324000,153100,8650600,631600,297000
2008-05-15,166927000,157248900,46599700,6406700,41979600,269100,2164300,243800,146600,9437900,723800,415000
2008-05-16,204236800,146563200,64245200,8314200,30127200,318100,1902600,155300,79300,12075300,1480100,323800
2008-05-19,165664400,140048700,102762700,7394100,45427200,163600,1348200,206100,58900,5931200,481400,256700
2008-05-20,178552100,137163700,82109000,11190900,44971500,230400,1466000,159600,49300,10683000,654300,1419600
2008-05-21,252724800,192806700,100026600,13505300,47546700,183100,1762100,184600,97300,11346200,863900,3444000
2008-05-22,170820400,153198200,60034900,9171800,26301300,223800,2855900,219600,51700,8864400,1280800,3545600
2008-05-23,181376400,121698400,64498000,7094000,31783500,413200,1802000,129500,401400,6062800,478700,311300
2008-05-27,168322900,106984300,62334000,7625800,35205600,258900,1985800,150300,65800,7601700,1094000,370600
2008-05-28,181288100,121363000,54387400,7705900,31076400,197900,3250700,151200,73700,8104100,976600,199800
2008-05-29,173927200,143993000,69851700,9804200,36030300,387600,3302400,159000,76300,12696700,883300,726700
2008-05-30,117362000,94153600,41633900,8651600,29933400,2838400,2514600,171900,53600,4944200,704800,304700
2008-06-02,181069900,144359900,69923200,9327700,39888600,240300,3076400,151900,374500,5277100,1013700,338500
2008-06-03,271965700,167606900,87672400,9969600,44795100,561500,2447700,149300,80200,8396000,684400,410000
2008-06-04,246637700,174870800,85092200,8132200,46607100,462400,2813000,127600,46100,7157500,797200,323800
2008-06-05,237867100,126653700,106082100,8738200,36879600,1079400,2632200,118700,49200,14130900,1323900,218100
2008-06-06,384276300,189136000,123993000,9983700,48717600,250000,3864800,118900,43100,17431700,871600,595100
2008-06-09,228263900,208897300,98998100,8157900,49329300,288000,1812000,124200,47100,9172100,1567800,412100
